chunk_size,replicat,config,filename,decompress_bandwidth_GBps,global_cr,wallclock_ms,compress_ms,compress_bandwidth_GBps,wallclock_bandwidth_GBps
1,1,share/blosc-6.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.0,23620.0,25.0,291.252,0.308269
1,1,share/blosc-9.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.0,1721.0,24.0,303.388,4.23086
1,1,share/blosc.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.0,1827.0,24.0,303.388,3.98539
1,1,share/bzip2-6.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.08265,5541.0,3881.0,1.87614,1.31408
1,1,share/bzip2-9.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.08233,5825.0,4182.0,1.74111,1.25001
1,1,share/roibin_blosc-6.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,3.95874,1680.0,42.0,173.365,4.33411
1,1,share/roibin_blosc-9.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,3.95874,1670.0,43.0,169.333,4.36007
1,1,share/roibin_blosc.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,3.95874,3051.0,486.0,14.9821,2.38653
1,1,share/roibin_bzip-6.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.28216,2651.0,1029.0,7.0761,2.74663
1,1,share/roibin_bzip-9.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.29903,2767.0,1113.0,6.54206,2.63148
1,1,share/roibin_fpzip.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.44763,1839.0,196.0,37.1495,3.95939
1,1,share/roibin_mgard.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,32.0214,2742.0,1098.0,6.63143,2.65547
1,1,share/roibin_sz3.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,3.96156,1689.0,45.0,161.807,4.31102
1,1,share/roibin_sz.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,383.882,1739.0,110.0,66.1937,4.18707
1,1,share/roibin_zfp.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,48.7023,1724.0,85.0,85.6625,4.2235
1,1,share/sz3.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4594.0,1827.0,200.0,36.4066,3.98539
1,1,share/sz.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.0,1658.0,24.0,303.388,4.39162
1,2,share/blosc-6.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.0,1659.0,24.0,303.388,4.38898
1,2,share/blosc-9.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.0,1644.0,24.0,303.388,4.42902
1,2,share/blosc.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.0,1714.0,24.0,303.388,4.24814
1,2,share/bzip2-6.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.08265,5513.0,3862.0,1.88537,1.32075
1,2,share/bzip2-9.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.08233,6137.0,4499.0,1.61843,1.18646
1,2,share/roibin_blosc-6.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,3.95874,1664.0,44.0,165.484,4.37579
1,2,share/roibin_blosc-9.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,3.95874,1685.0,45.0,161.807,4.32125
1,2,share/roibin_blosc.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,3.95874,1693.0,43.0,169.333,4.30083
1,2,share/roibin_bzip-6.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.28216,2662.0,1033.0,7.0487,2.73528
1,2,share/roibin_bzip-9.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.29903,2752.0,1103.0,6.60137,2.64583
1,2,share/roibin_fpzip.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.44763,1837.0,201.0,36.2254,3.9637
